time,gFx,gFy,gFz,TgF
0.277164,-0.2158,-1.0019,0.1043,1.030
0.279217231,-0.2185,-1.0044,0.1048,1.033
0.281427615,-0.2192,-1.0073,0.1038,1.036
0.283908615,-0.2162,-1.0117,0.1067,1.040
0.286160615,-0.2169,-1.0153,0.1104,1.044
0.288449769,-0.2138,-1.0174,0.1129,1.046
0.291121231,-0.2148,-1.0200,0.1143,1.049
0.293129461,-0.2138,-1.0198,0.1162,1.048
0.295512538,-0.2165,-1.0190,0.1172,1.048
0.297860615,-0.2162,-1.0139,0.1170,1.043
0.300380308,-0.2150,-1.0137,0.1185,1.043
0.302553538,-0.2158,-1.0149,0.1199,1.044
0.305041154,-0.2153,-1.0117,0.1178,1.041
0.307412846,-0.2111,-1.0105,0.1155,1.039
0.310326077,-0.2111,-1.0130,0.1143,1.041
0.312386384,-0.2126,-1.0158,0.1129,1.044
0.314409846,-0.2111,-1.0130,0.1129,1.041
0.316923384,-0.2085,-1.0114,0.1102,1.039
0.319329846,-0.2089,-1.0102,0.1104,1.037
0.322069769,-0.2131,-1.0100,0.1062,1.038
0.323916538,-0.2101,-1.0100,0.1078,1.037
0.326444,-0.2138,-1.0078,0.1067,1.036
0.328617538,-0.2148,-1.0053,0.1073,1.034
0.331094077,-0.2169,-1.0021,0.1034,1.031
0.342251384,-0.2141,-0.9995,0.1048,1.028
0.343098154,-0.2134,-0.9960,0.1016,1.024
0.343353538,-0.2146,-0.9934,0.0999,1.021
0.343672615,-0.2153,-0.9958,0.0982,1.024
0.344088231,-0.2141,-0.9936,0.0978,1.021
0.346196923,-0.2162,-0.9911,0.1013,1.019
0.347622384,-0.2202,-0.9926,0.1031,1.022
0.351767692,-0.2227,-0.9944,0.1065,1.025
0.352433231,-0.2216,-0.9939,0.1073,1.024
0.361733538,-0.2199,-0.9941,0.1055,1.024
0.362011615,-0.2214,-0.9972,0.1065,1.027
0.362082384,-0.2199,-0.9997,0.1048,1.029
0.362165461,-0.2162,-1.0007,0.1078,1.029
0.363971923,-0.2148,-1.0034,0.1080,1.032
0.366320846,-0.2138,-1.0024,0.1082,1.031
0.368659923,-0.2116,-1.0032,0.1094,1.031
0.371063308,-0.2136,-1.0032,0.1094,1.031
0.37338,-0.2129,-1.0058,0.1097,1.034
0.377111308,-0.2129,-1.0060,0.1099,1.034
0.378125154,-0.2116,-1.0056,0.1085,1.033
0.380586077,-0.2092,-1.0085,0.1116,1.036
0.383206077,-0.2055,-1.0119,0.1085,1.038
0.385177538,-0.2092,-1.0119,0.1094,1.039
0.388556923,-0.2082,-1.0119,0.1092,1.039
0.390013461,-0.2078,-1.0121,0.1060,1.039
0.392169231,-0.2062,-1.0109,0.1038,1.037
0.394798461,-0.2111,-1.0121,0.1043,1.039
0.396998769,-0.2101,-1.0121,0.1043,1.039
0.399695923,-0.2141,-1.0127,0.1034,1.040
0.401964308,-0.2126,-1.0093,0.1006,1.036
0.403994384,-0.2123,-1.0085,0.1024,1.036
0.406676308,-0.2126,-1.0068,0.1021,1.034
0.409688231,-0.2148,-1.0032,0.1009,1.031
0.411236923,-0.2180,-1.0016,0.1055,1.030
0.413523077,-0.2214,-1.0000,0.1078,1.030
0.416052615,-0.2190,-0.9990,0.1058,1.028
0.418543615,-0.2199,-1.0002,0.1041,1.029
0.430366769,-0.2136,-1.0009,0.1026,1.029
0.431264231,-0.2182,-1.0014,0.1021,1.030
0.431582461,-0.2178,-1.0034,0.1029,1.032
0.431830154,-0.2175,-1.0041,0.1043,1.033
0.432152538,-0.2199,-1.0032,0.1034,1.032
0.434214461,-0.2185,-1.0037,0.1041,1.032
0.435086154,-0.2185,-1.0046,0.1041,1.033
0.437804,-0.2190,-1.0051,0.1067,1.034
0.439810154,-0.2192,-1.0037,0.1073,1.033
0.442194077,-0.2180,-1.0041,0.1085,1.033
0.444661538,-0.2146,-1.0014,0.1090,1.030
0.449852231,-0.2109,-1.0016,0.1109,1.030
0.450141154,-0.2082,-1.0041,0.1129,1.032
0.451264846,-0.2074,-1.0058,0.1134,1.033
0.453568615,-0.2023,-1.0032,0.1111,1.029
0.456019923,-0.2020,-1.0056,0.1146,1.032
0.458511615,-0.2029,-1.0041,0.1136,1.031
0.460744,-0.2050,-1.0024,0.1141,1.030
0.463170769,-0.2053,-1.0044,0.1136,1.031
0.466313461,-0.2065,-1.0034,0.1136,1.031
0.467795692,-0.2057,-1.0044,0.1146,1.032
0.470181154,-0.2029,-1.0021,0.1143,1.029
0.472625769,-0.2048,-1.0060,0.1151,1.033
0.474935923,-0.2020,-1.0076,0.1141,1.034
0.477655384,-0.1989,-1.0058,0.1121,1.031
0.47974,-0.2013,-1.0078,0.1127,1.034
