time,gFx,gFy,gFz,TgF
0.273410231,-0.9958,-0.0562,0.1486,1.008
0.276558231,-0.9939,-0.0574,0.1514,1.007
0.278224077,-0.9956,-0.0569,0.1517,1.009
0.280717539,-0.9975,-0.0550,0.1505,1.010
0.282884077,-0.9983,-0.0554,0.1524,1.011
0.285270462,-1.0019,-0.0564,0.1534,1.015
0.287624923,-0.9968,-0.0559,0.1519,1.010
0.292117846,-1.0015,-0.0569,0.1526,1.015
0.292519077,-0.9981,-0.0564,0.1505,1.011
0.296904308,-1.0015,-0.0569,0.1512,1.014
0.297506231,-1.0024,-0.0547,0.1498,1.015
0.299405308,-1.0012,-0.0554,0.1514,1.014
0.302757231,-0.9993,-0.0554,0.1481,1.012
0.304354539,-1.0015,-0.0564,0.1500,1.014
0.307941,-1.0019,-0.0566,0.1495,1.015
0.309103385,-0.9993,-0.0566,0.1493,1.012
0.31167477,-0.9998,-0.0591,0.1481,1.012
0.313652693,-1.0010,-0.0564,0.1495,1.014
0.316821923,-1.0024,-0.0564,0.1500,1.015
0.318749923,-1.0039,-0.0579,0.1474,1.016
0.320920923,-1.0007,-0.0586,0.1465,1.013
0.323613,-1.0003,-0.0577,0.1468,1.013
0.325428693,-0.9986,-0.0589,0.1481,1.011
0.32806,-0.9988,-0.0606,0.1470,1.011
0.330144385,-1.0003,-0.0582,0.1478,1.013
0.332625846,-1.0012,-0.0591,0.1490,1.014
0.334996308,-1.0000,-0.0579,0.1498,1.013
0.346831154,-1.0022,-0.0574,0.1519,1.015
0.347687462,-1.0032,-0.0591,0.1486,1.016
0.348044,-1.0059,-0.0603,0.1498,1.019
0.348304693,-1.0042,-0.0613,0.1500,1.017
0.348600923,-0.9988,-0.0601,0.1519,1.012
0.349760923,-1.0019,-0.0594,0.1514,1.015
0.351493846,-1.0032,-0.0610,0.1509,1.016
0.354498539,-1.0003,-0.0569,0.1498,1.013
0.356206846,-1.0015,-0.0564,0.1532,1.015
0.358968077,-1.0028,-0.0564,0.1537,1.016
0.361154539,-1.0012,-0.0559,0.1534,1.014
0.368877308,-1.0010,-0.0571,0.1524,1.014
0.369376,-1.0012,-0.0577,0.1507,1.014
0.36990677,-1.0007,-0.0582,0.1534,1.014
0.372083154,-1.0005,-0.0591,0.1509,1.014
0.372568923,-0.9988,-0.0586,0.1495,1.012
0.374852616,-1.0012,-0.0584,0.1514,1.014
0.377296616,-1.0010,-0.0584,0.1505,1.014
0.380775385,-0.9995,-0.0571,0.1498,1.012
0.382629231,-0.9988,-0.0569,0.1476,1.011
0.38440277,-1.0005,-0.0571,0.1524,1.014
0.386955154,-0.9966,-0.0571,0.1519,1.010
0.389696308,-0.9975,-0.0582,0.1524,1.011
0.392544616,-1.0010,-0.0569,0.1488,1.014
0.394647077,-1.0003,-0.0564,0.1500,1.013
0.396731693,-0.9998,-0.0557,0.1500,1.013
0.399563077,-1.0010,-0.0594,0.1500,1.014
0.403514231,-0.9975,-0.0559,0.1505,1.010
0.403879385,-0.9973,-0.0552,0.1524,1.010
0.405986846,-0.9983,-0.0562,0.1500,1.011
0.40809877,-0.9998,-0.0540,0.1519,1.013
0.410510539,-0.9998,-0.0571,0.1524,1.013
0.412873,-0.9986,-0.0569,0.1534,1.012
0.416832077,-0.9986,-0.0577,0.1519,1.012
0.41765877,-1.0022,-0.0559,0.1519,1.015
0.41997877,-1.0012,-0.0566,0.1521,1.014
0.422329308,-1.0017,-0.0579,0.1534,1.015
0.424759077,-0.9983,-0.0584,0.1524,1.012
0.427016923,-1.0000,-0.0589,0.1544,1.014
0.429509539,-1.0012,-0.0571,0.1512,1.014
0.431963077,-0.9981,-0.0577,0.1514,1.011
0.43410277,-1.0012,-0.0577,0.1546,1.015
0.436363693,-0.9981,-0.0603,0.1544,1.012
0.448175462,-0.9998,-0.0591,0.1532,1.013
0.455513847,-1.0032,-0.0586,0.1521,1.016
0.455655462,-0.9995,-0.0589,0.1534,1.013
0.455732077,-1.0000,-0.0615,0.1554,1.014
0.455792616,-0.9981,-0.0586,0.1534,1.011
0.455844923,-0.9998,-0.0589,0.1524,1.013
0.455891385,-0.9995,-0.0577,0.1524,1.013
0.45599077,-1.0012,-0.0591,0.1514,1.014
0.45777977,-1.0012,-0.0574,0.1542,1.015
0.460539154,-0.9998,-0.0574,0.1542,1.013
0.462773231,-0.9963,-0.0591,0.1526,1.010
0.465116,-0.9973,-0.0577,0.1526,1.011
0.467516308,-0.9954,-0.0579,0.1519,1.009
0.469979077,-0.9995,-0.0577,0.1532,1.013
0.471941539,-0.9973,-0.0562,0.1534,1.011
0.47477177,-0.9966,-0.0574,0.1539,1.010
0.477672385,-0.9944,-0.0584,0.1537,1.008
0.479526539,-0.9961,-0.0557,0.1530,1.009
0.482936308,-1.0000,-0.0574,0.1549,1.014
0.483819077,-0.9979,-0.0545,0.1526,1.011
0.486510847,-0.9968,-0.0566,0.1544,1.010
0.488686154,-0.9981,-0.0564,0.1517,1.011
0.49106677,-0.9998,-0.0562,0.1519,1.013
0.493405923,-1.0028,-0.0557,0.1519,1.016
0.495401308,-1.0022,-0.0569,0.1524,1.015
0.49777977,-1.0030,-0.0562,0.1519,1.016
0.50025477,-1.0030,-0.0589,0.1521,1.016
0.502326539,-1.0032,-0.0594,0.1539,1.017
0.504838231,-1.0012,-0.0566,0.1537,1.015
0.507110154,-1.0015,-0.0577,0.1532,1.015
0.509807462,-1.0022,-0.0574,0.1514,1.015
0.512006231,-1.0039,-0.0603,0.1507,1.017
0.515145616,-1.0030,-0.0586,0.1568,1.017
0.516779693,-1.0037,-0.0586,0.1546,1.017
0.519044,-1.0015,-0.0591,0.1468,1.014
0.521380308,-1.0017,-0.0594,0.1476,1.014
0.523590154,-1.0022,-0.0589,0.1549,1.016
0.527277539,-1.0063,-0.0606,0.1544,1.020
0.528385539,-1.0049,-0.0603,0.1514,1.018
0.530941308,-1.0071,-0.0610,0.1498,1.020
0.533191462,-1.0044,-0.0598,0.1524,1.018
0.535781539,-1.0037,-0.0591,0.1524,1.017
0.546953923,-1.0030,-0.0584,0.1521,1.016
0.547845231,-1.0035,-0.0582,0.1534,1.017
0.548191462,-1.0015,-0.0569,0.1530,1.015
0.54848277,-1.0012,-0.0566,0.1521,1.014
0.548729231,-1.0024,-0.0579,0.1519,1.016
0.550037539,-1.0003,-0.0574,0.1556,1.014
0.552609308,-0.9995,-0.0586,0.1566,1.013
0.560305923,-1.0010,-0.0574,0.1542,1.014
0.560652693,-1.0000,-0.0564,0.1542,1.013
0.560885616,-1.0022,-0.0569,0.1561,1.016
0.563073923,-1.0000,-0.0584,0.1556,1.014
0.566796,-0.9966,-0.0586,0.1554,1.010
0.567081308,-0.9981,-0.0579,0.1521,1.011
0.568825616,-0.9966,-0.0596,0.1546,1.010
0.571271154,-0.9975,-0.0584,0.1514,1.011
0.57312,-0.9956,-0.0566,0.1519,1.009
0.575479462,-0.9954,-0.0582,0.1519,1.009
0.582043077,-0.9958,-0.0591,0.1521,1.009
0.582541231,-0.9970,-0.0569,0.1546,1.011
0.582725308,-0.9961,-0.0557,0.1519,1.009
0.584981539,-0.9988,-0.0569,0.1488,1.011
0.587523077,-0.9986,-0.0582,0.1519,1.012
0.589898154,-0.9958,-0.0574,0.1514,1.009
0.592260308,-0.9949,-0.0564,0.1486,1.008
0.594700077,-0.9981,-0.0586,0.1474,1.011
0.596741847,-0.9998,-0.0584,0.1483,1.012
0.599273847,-1.0022,-0.0562,0.1478,1.015
0.601278231,-1.0032,-0.0591,0.1488,1.016
0.604096308,-1.0039,-0.0601,0.1463,1.016
0.606680077,-1.0015,-0.0586,0.1478,1.014
0.609023462,-1.0035,-0.0552,0.1470,1.016
0.611717539,-1.0015,-0.0582,0.1488,1.014
0.613557616,-1.0028,-0.0571,0.1474,1.015
0.616527693,-1.0035,-0.0598,0.1465,1.016
0.618196385,-1.0030,-0.0591,0.1470,1.015
0.620463154,-1.0019,-0.0582,0.1458,1.014
0.62290277,-1.0035,-0.0589,0.1453,1.016
